parent,child,mutual
t lymphocyte,alpha-beta t lymphocyte,0
t lymphocyte,alpha-beta t-cell,0
t lymphocyte,alpha-beta t-lymphocyte,0
t lymphocyte,cd3e-positive t cell,0
t lymphocyte,cd3epsilon t cell,0
t lymphocyte,immature t cell,0
t lymphocyte,mature alpha-beta t cell,0
t lymphocyte,mature alpha-beta t lymphocyte,0
t lymphocyte,mature alpha-beta t-cell,0
t lymphocyte,mature alpha-beta t-lymphocyte,0
t lymphocyte,mature t-cell,0
t lymphocyte,plasmacytoid t cell,0
t lymphocyte,t cell,1
t lymphocyte,t-cell,1
t lymphocyte,t-lymphocyte,1
t-cell,alpha-beta t cell,0
t-cell,alpha-beta t lymphocyte,0
t-cell,alpha-beta t-cell,0
t-cell,alpha-beta t-lymphocyte,0
t-cell,cd3e-positive t cell,0
t-cell,cd3epsilon t cell,0
t-cell,immature t cell,0
t-cell,mature alpha-beta t cell,0
t-cell,mature alpha-beta t lymphocyte,0
t-cell,mature alpha-beta t-cell,0
t-cell,mature alpha-beta t-lymphocyte,0
t-cell,mature t-cell,0
t-cell,plasmacytoid t cell,0
t-cell,t cell,1
t-cell,t lymphocyte,1
t-cell,t-lymphocyte,1
t-lymphocyte,alpha-beta t cell,0
t-lymphocyte,alpha-beta t lymphocyte,0
t-lymphocyte,alpha-beta t-cell,0
t-lymphocyte,alpha-beta t-lymphocyte,0
t-lymphocyte,cd3e-positive t cell,0
t-lymphocyte,cd3epsilon t cell,0
t-lymphocyte,immature t cell,0
t-lymphocyte,mature alpha-beta t cell,0
t-lymphocyte,mature alpha-beta t lymphocyte,0
t-lymphocyte,mature alpha-beta t-cell,0
t-lymphocyte,mature alpha-beta t-lymphocyte,0
t-lymphocyte,mature t-cell,0
t-lymphocyte,plasmacytoid t cell,0
t-lymphocyte,t cell,1
t-lymphocyte,t lymphocyte,1
t-lymphocyte,t-cell,1
type 1 dc,cd141-positive myeloid dendritic cell,0
visceral muscle cell,smooth muscle cell of bladder,0
visual system neuron,cone retinal bipolar cell,0
visual system neuron,db3 cone bipolar cell,0
visual system neuron,geniculate ganglion vglut2 neuron,0
visual system neuron,retinal bipolar neuron,0
visual system neuron,type 4 cone bipolar cell sensu mus,0
wbc,alpha-beta t cell,0
wbc,alpha-beta t lymphocyte,0
wbc,alpha-beta t-cell,0
wbc,alpha-beta t-lymphocyte,0
wbc,apc,0
wbc,cd11b-positive dendritic cell,0
wbc,cd11ccd123- dc,0
wbc,cd141-positive myeloid dendritic cell,0
wbc,cd1a dermal dc,0
wbc,cd1a-positive dermal dendritic cell,0
wbc,cd3e-positive t cell,0
wbc,cd3epsilon t cell,0
wbc,cdc,0
wbc,conventional dendritic cell,0
wbc,dc1,0
wbc,dc2,0
wbc,dendritic cell,0
wbc,dendritic reticular cell,0
wbc,dermal dendritic cell,0
wbc,immature cd1a-positive dermal dendritic cell,0
wbc,immature conventional dendritic cell,0
wbc,immature dermal dendritic cell,0
wbc,immature myeloid dendritic cell,0
wbc,immature t cell,0
wbc,immune cell,1
wbc,interferon-producing cell,0
wbc,leucocyte,1
wbc,leukocyte,1
wbc,lymphocyte,0
wbc,lymphoid dendritic cell,0
wbc,mature alpha-beta t cell,0
wbc,mature alpha-beta t lymphocyte,0
wbc,mature alpha-beta t-cell,0
wbc,mature alpha-beta t-lymphocyte,0
wbc,mature t-cell,0
wbc,mdc,0
wbc,mononuclear cell,0
wbc,mononuclear leukocyte,0
wbc,mononuclear phagocyte,0
wbc,myeloid cell,0
wbc,myeloid dendritic cell,0
wbc,myeloid leukocyte,0
wbc,pdc,0
wbc,peripheral blood mononuclear cell,0
wbc,phagocyte,0
wbc,phagocyte sensu vertebrata,0
wbc,plasmacytoid dendritic cell,0
wbc,plasmacytoid monocyte,0
wbc,plasmacytoid t cell,0
wbc,professional antigen presenting cell,0
wbc,t cell,0
wbc,t lymphocyte,0
wbc,t-associated plasma cell,0
wbc,t-cell,0
wbc,t-lymphocyte,0
wbc,type 1 dc,0
wbc,type 2 dc,0
wbc,white blood cell,1
white blood cell,alpha-beta t cell,0
white blood cell,alpha-beta t lymphocyte,0
white blood cell,alpha-beta t-cell,0
white blood cell,alpha-beta t-lymphocyte,0
white blood cell,apc,0
white blood cell,cd11b-positive dendritic cell,0
white blood cell,cd11ccd123- dc,0
white blood cell,cd141-positive myeloid dendritic cell,0
white blood cell,cd1a dermal dc,0
white blood cell,cd1a-positive dermal dendritic cell,0
white blood cell,cd3e-positive t cell,0
white blood cell,cd3epsilon t cell,0
white blood cell,cdc,0
white blood cell,conventional dendritic cell,0
white blood cell,dc1,0
white blood cell,dc2,0
white blood cell,dendritic cell,0
white blood cell,dendritic reticular cell,0
white blood cell,dermal dendritic cell,0
white blood cell,immature cd1a-positive dermal dendritic cell,0
white blood cell,immature conventional dendritic cell,0
white blood cell,immature dermal dendritic cell,0
white blood cell,immature myeloid dendritic cell,0
white blood cell,immature t cell,0
white blood cell,interferon-producing cell,0
white blood cell,leucocyte,1
white blood cell,leukocyte,1
white blood cell,lymphocyte,0
white blood cell,lymphoid dendritic cell,0
white blood cell,mature alpha-beta t cell,0
white blood cell,mature alpha-beta t lymphocyte,0
white blood cell,mature alpha-beta t-cell,0
white blood cell,mature alpha-beta t-lymphocyte,0
white blood cell,mature t-cell,0
white blood cell,mdc,0
white blood cell,mononuclear cell,0
white blood cell,mononuclear leukocyte,0
white blood cell,mononuclear phagocyte,0
white blood cell,myeloid cell,0
white blood cell,myeloid dendritic cell,0
white blood cell,myeloid leukocyte,0
white blood cell,pdc,0
white blood cell,peripheral blood mononuclear cell,0
white blood cell,phagocyte,0
white blood cell,phagocyte sensu vertebrata,0
white blood cell,plasmacytoid dendritic cell,0
white blood cell,plasmacytoid monocyte,0
white blood cell,plasmacytoid t cell,0
white blood cell,professional antigen presenting cell,0
white blood cell,t cell,0
white blood cell,t lymphocyte,0
white blood cell,t-associated plasma cell,0
white blood cell,t-cell,0
white blood cell,t-lymphocyte,0
white blood cell,type 1 dc,0
white blood cell,type 2 dc,0
white blood cell,wbc,1
